ticker,sector,high1_date,high1,high2_date,high2,rsi1,rsi2,entry_date,entry_close,exit_date,exit_close,stock_60d_return,spy_entry_close,spy_exit_date,spy_exit_close,spy_60d_return,pair_pnl
UHS,Healthcare,2008-02-29,27.46,2008-05-06,31.74,70.17045561399499,65.14660538836117,2008-05-13,31.4,2008-08-07,29.88,-0.0484076433121019,140.48,2008-08-07,127.01,-0.09588553530751698,-0.04747789199541508
DVN,Energy,2008-02-28,107.15,2008-05-07,123.0,71.49974253565249,55.525943923515555,2008-05-14,116.01,2008-08-08,89.6,-0.2276527885527111,140.77,2008-08-08,129.37,-0.08098316402642614,0.14666962452628496
TAP,Consumer Defensive,2008-02-28,54.57,2008-05-13,58.3,70.63457154990644,62.130306858559955,2008-05-20,56.29,2008-08-14,49.49,-0.12080298454432403,141.89,2008-08-14,129.54,-0.0870392557615054,0.033763728782818636
STLD,Basic Materials,2008-03-18,35.28,2008-05-19,39.38,68.56308307629602,57.76763280699971,2008-05-27,35.05,2008-08-20,25.91,-0.2607703281027104,138.66,2008-08-20,127.58,-0.07990768786960911,0.18086264023310128
NUE,Basic Materials,2008-03-18,75.67,2008-05-19,83.56,66.85838752248364,61.36958890933379,2008-05-27,72.47,2008-08-20,52.53,-0.27514833724299703,138.66,2008-08-20,127.58,-0.07990768786960911,0.19524064937338792
CAT,Industrials,2008-04-01,79.99,2008-05-19,85.96,68.17417339226623,61.22223845024615,2008-05-27,81.95,2008-08-20,68.8,-0.16046369737644917,138.66,2008-08-20,127.58,-0.07990768786960911,0.08055600950684005
HAL,Energy,2008-04-22,48.33,2008-05-21,50.29,86.49856654130264,59.10168137988624,2008-05-29,48.43,2008-08-22,45.46,-0.0613256246128433,140.0,2008-08-22,129.65,-0.07392857142857134,-0.012602946815728044
FCX,Basic Materials,2008-02-28,53.69,2008-05-21,63.62,69.92673290188392,56.7930336129449,2008-05-29,56.59,2008-08-22,45.3,-0.19950521293514767,140.0,2008-08-22,129.65,-0.07392857142857134,0.12557664150657633
APA,Energy,2008-02-28,119.48,2008-05-21,149.23,72.14729788612644,60.80022345089256,2008-05-29,133.16,2008-08-22,111.57,-0.16213577650946231,140.0,2008-08-22,129.65,-0.07392857142857134,0.08820720508089097
EOG,Energy,2008-02-28,64.95,2008-05-21,72.5,79.1998395471897,55.70347767512919,2008-05-29,63.9,2008-08-22,51.82,-0.18904538341158061,140.0,2008-08-22,129.65,-0.07392857142857134,0.11511681198300927
TAP,Consumer Defensive,2008-02-28,54.57,2008-05-23,59.51,70.63457154990644,60.92040958242021,2008-06-02,57.72,2008-08-26,47.64,-0.17463617463617465,138.9,2008-08-26,127.39,-0.0828653707703384,0.09177080386583625
TDY,Technology,2008-04-02,49.07,2008-05-28,58.39,61.31878040169001,44.41993204967622,2008-06-04,53.6,2008-08-28,63.5,0.18470149253731338,138.02,2008-08-28,130.19,-0.056730908563976334,-0.24143240110128972
JBHT,Industrials,2008-03-24,33.8,2008-05-29,36.11,63.111476167577656,57.4841891743103,2008-06-05,35.89,2008-08-29,36.45,0.015603232098077457,140.78,2008-08-29,128.79,-0.08516834777667293,-0.10077157987475038
CHRW,Industrials,2008-04-07,60.74,2008-05-30,65.7,64.27850580757783,55.052318416275455,2008-06-06,61.07,2008-09-02,52.04,-0.14786310790895696,136.29,2008-09-02,127.99,-0.06089955242497613,0.08696355548398083
MA,Financial Services,2008-05-06,30.14,2008-05-30,32.03,79.72144073611412,73.32979001282645,2008-06-06,29.57,2008-09-02,23.92,-0.19107203246533644,136.29,2008-09-02,127.99,-0.06089955242497613,0.1301724800403603
DLR,Real Estate,2008-04-24,41.74,2008-05-30,43.45,71.06516724738697,60.84216609096833,2008-06-06,41.25,2008-09-02,45.82,0.11078787878787888,136.29,2008-09-02,127.99,-0.06089955242497613,-0.171687431212855
TEL,Technology,2008-04-04,36.37,2008-06-02,40.34,67.89178135522445,62.56309721976667,2008-06-09,38.79,2008-09-03,31.79,-0.1804588811549368,136.62,2008-09-03,127.88,-0.06397306397306401,0.11648581718187279
MAA,Real Estate,2008-03-25,54.7,2008-06-03,57.3,69.73182334308937,59.02225667331594,2008-06-10,55.16,2008-09-04,48.44,-0.12182741116751272,135.94,2008-09-04,124.03,-0.08761218184493158,0.03421522932258114
BALL,Consumer Cyclical,2008-04-07,12.2,2008-06-03,13.74,57.779947096904394,52.35836864852576,2008-06-10,12.6,2008-09-04,10.85,-0.13888888888888884,135.94,2008-09-04,124.03,-0.08761218184493158,0.05127670704395726
EW,Healthcare,2008-04-23,4.7775,2008-06-05,5.0759,86.9264225632567,81.69774901400594,2008-06-12,4.9842,2008-09-08,4.7775,-0.04147104851330219,134.45,2008-09-08,126.99,-0.055485310524358455,-0.014014262011056267
AME,Industrials,2008-04-21,22.57,2008-06-05,23.58,73.54475038454761,66.98524773463159,2008-06-12,22.38,2008-09-08,20.26,-0.09472743521000881,134.45,2008-09-08,126.99,-0.055485310524358455,0.03924212468565036
WMB,Energy,2008-04-28,30.48,2008-06-06,32.2,72.86842328436704,60.87576504938504,2008-06-13,30.77,2008-09-09,20.38,-0.33766655833604164,136.15,2008-09-09,123.22,-0.09496878442893875,0.2426977739071029
EQT,Energy,2008-04-25,37.86,2008-06-06,40.41,73.3899490218053,55.041872641026984,2008-06-13,37.05,2008-09-09,22.54,-0.3916329284750337,136.15,2008-09-09,123.22,-0.09496878442893875,0.296664144046095
CVX,Energy,2008-04-30,97.28,2008-06-06,102.15,71.01871265058433,55.28766400925966,2008-06-13,99.4,2008-09-09,78.79,-0.20734406438631792,136.15,2008-09-09,123.22,-0.09496878442893875,0.11237527995737917
NUE,Basic Materials,2008-03-18,75.67,2008-06-06,81.25,66.85838752248364,54.47330622675392,2008-06-13,77.06,2008-09-09,42.15,-0.4530236179600312,136.15,2008-09-09,123.22,-0.09496878442893875,0.35805483353109246
MPWR,Technology,2008-05-02,24.38,2008-06-06,27.5,76.29850868770492,63.8681649739833,2008-06-13,24.34,2008-09-09,20.48,-0.15858668857847158,136.15,2008-09-09,123.22,-0.09496878442893875,0.06361790414953283
TTWO,Communication Services,2008-03-24,26.08,2008-06-06,27.95,66.31392983173124,59.53786993837355,2008-06-13,26.47,2008-09-09,21.77,-0.17755950132225162,136.15,2008-09-09,123.22,-0.09496878442893875,0.08259071689331288
HAL,Energy,2008-04-22,48.33,2008-06-09,51.19,86.49856654130264,64.5861520918579,2008-06-16,48.79,2008-09-10,35.58,-0.27075220332035255,136.23,2008-09-10,123.72,-0.0918299933935256,0.17892220992682695
HAS,Consumer Cyclical,2008-05-02,36.65,2008-06-10,39.63,73.49954973063637,66.85780577970985,2008-06-17,38.88,2008-09-11,38.32,-0.01440329218107006,135.57,2008-09-11,125.51,-0.0742052076418086,-0.05980191546073854
WMT,Consumer Defensive,2008-03-24,18.05,2008-06-10,19.98,69.0484546870862,63.24798880484322,2008-06-17,19.56,2008-09-11,21.06,0.07668711656441718,135.57,2008-09-11,125.51,-0.0742052076418086,-0.15089232420622578
IBM,Technology,2008-03-24,114.52,2008-06-16,121.55,64.73080306136106,53.53972804573067,2008-06-23,118.03,2008-09-17,106.57,-0.09709395916292474,131.45,2008-09-17,116.61,-0.11289463674400901,-0.015800677581084277
GLW,Technology,2008-04-08,26.26,2008-06-16,27.56,67.46546511371301,53.38907169113094,2008-06-23,25.4,2008-09-17,14.51,-0.4287401574803149,131.45,2008-09-17,116.61,-0.11289463674400901,0.3158455207363059
ARE,Real Estate,2008-04-04,100.22,2008-06-17,105.88,58.926945025248926,49.11455034697732,2008-06-24,99.08,2008-09-18,113.95,0.15008074283407358,131.19,2008-09-18,120.07,-0.08476255812180811,-0.23484330095588168
CCI,Real Estate,2008-04-23,39.86,2008-06-17,42.82,65.1562732769571,58.87039152033949,2008-06-24,40.29,2008-09-18,31.94,-0.20724745594440308,131.19,2008-09-18,120.07,-0.08476255812180811,0.12248489782259497
MAA,Real Estate,2008-03-25,54.7,2008-06-17,57.82,69.73182334308937,55.87534266018862,2008-06-24,52.52,2008-09-18,50.99,-0.029131759329779183,131.19,2008-09-18,120.07,-0.08476255812180811,-0.055630798792028924
GILD,Healthcare,2008-04-02,26.6,2008-06-19,27.74,62.691756222273575,57.65444050623706,2008-06-26,26.47,2008-09-22,22.36,-0.15527011711371363,128.23,2008-09-22,121.31,-0.05396553068704657,0.10130458642666706
DVN,Energy,2008-03-26,108.13,2008-06-19,124.84,61.18745566593059,52.47744855561346,2008-06-26,114.65,2008-09-22,102.25,-0.10815525512429136,128.23,2008-09-22,121.31,-0.05396553068704657,0.05418972443724479
D,Utilities,2008-05-02,45.93,2008-06-20,48.28,71.84386012857641,57.9814887363135,2008-06-27,46.2,2008-09-23,42.72,-0.07532467532467546,127.53,2008-09-23,118.55,-0.07041480435975855,0.004909870964916907
CRM,Technology,2008-05-06,17.78,2008-06-23,18.8,66.50614333790143,61.095764928292,2008-06-30,17.06,2008-09-24,12.75,-0.2526377491207502,127.98,2008-09-24,118.93,-0.07071417408970149,0.18192357503104872
GIS,Consumer Defensive,2008-04-07,30.52,2008-06-23,31.75,65.10840161277552,57.166157630041326,2008-06-30,30.39,2008-09-24,34.17,0.12438302073050345,127.98,2008-09-24,118.93,-0.07071417408970149,-0.19509719482020493
STLD,Basic Materials,2008-04-07,38.73,2008-06-24,40.92,66.9036197305982,59.31112413921957,2008-07-01,38.09,2008-09-25,20.74,-0.45550013126804945,128.38,2008-09-25,120.79,-0.05912135846705091,0.39637877280099854
EXC,Utilities,2008-04-18,62.78,2008-06-24,65.49,70.07807554707622,60.07759667319133,2008-07-01,64.43,2008-09-25,48.77,-0.24305447772776656,128.38,2008-09-25,120.79,-0.05912135846705091,0.18393311926071565
